date, time, azimuth, elevation, weather, cloud_coverage, shutter_position, automation,tv_on
02/10/2023, 16:31:14, 240.16, 16.36, cloudy, 100.0, 79, True, null
10/10/2023, 18:18:45, 261.45, -1.81, cloudy, 100.0, 62, True, null
12/10/2023, 16:19:49, 236.8, 13.87, cloudy, 93.0, 40, True, null
17/10/2023, 14:52:38, 215.37, 21.72, partlycloudy, 64.1, 45, True, null
18/10/2023, 16:05:53, 233.01, 13.43, partlycloudy, 82.0, 70, True, null
23/10/2023, 15:43:38, 226.78, 14.62, partlycloudy, 50.8, 38, True, null
13/11/2023, 17:03:11, 251.02, -8.27, sunny, 12.5, 32, True, null
26/11/2023, 17:14:30, 251.01, -12.0, cloudy, 100.0, 24, True, null
28/11/2023, 17:19:04, 251.91, -13.14, cloudy, 100.0, 76, True, null
02/12/2023, 17:31:53, 253.83, -15.43, cloudy, 100.0, 53, True, null
16/12/2023, 16:10:26, 236.5, -4.58, partlycloudy, 75.0, 24, True, null
17/12/2023, 16:10:26, 236.42, -4.58, cloudy, 100.0, 24, True, null
18/12/2023, 16:10:26, 236.36, -4.57, cloudy, 100.0, 24, True, null
19/12/2023, 16:10:26, 236.31, -4.57, rainy, 100.0, 24, True, null
20/12/2023, 16:10:26, 236.28, -4.57, rainy, 100.0, 24, True, null
21/12/2023, 16:10:26, 236.26, -4.57, rainy, 100.0, 24, True, null
22/12/2023, 16:10:26, 236.26, -4.57, cloudy, 88.3, 24, True, null
23/12/2023, 16:10:26, 236.28, -4.57, partlycloudy, 42.2, 24, True, null
24/12/2023, 16:10:26, 236.31, -4.57, rainy, 100.0, 24, True, null
25/12/2023, 16:10:26, 235.58, -4.06, sunny, 0.0, 24, True, null
26/12/2023, 16:10:24, 235.65, -4.07, partlycloudy, 39.8, 24, True, null
29/12/2023, 16:10:26, 235.93, -4.08, rainy, 100.0, 24, True, null
24/02/2024, 17:53:32, 261.55, -5.43, partlycloudy, 23.4, 52, True, null
07/03/2024, 15:51:52, 239.9, 14.99, sunny, 0.0, 62, True, null
07/03/2024, 16:45:36, 251.21, 7.77, sunny, 0.0, 56, True, null
08/03/2024, 16:43:52, 251.09, 8.33, sunny, 0.0, 57, True, null
10/03/2024, 15:08:04, 230.47, 21.42, partlycloudy, 75.0, 59, True, null
16/03/2024, 14:29:04, 222.64, 27.49, rainy, 100.0, 66, True, null
19/03/2024, 16:22:29, 249.5, 14.61, cloudy, 100.0, 55, True, null
28/03/2024, 15:55:32, 246.35, 20.87, cloudy, 100.0, 43, True, null
29/03/2024, 18:30:53, 278.92, -1.81, partlycloudy, 33.6, 41, True, null
